type;geometry/type;geometry/coordinates/0;geometry/coordinates/1;properties/campaign;properties/tubeId;properties/resultId;properties/value;properties/link;properties/group;properties/city;properties/height;properties/trafic;properties/info;properties/ostation;properties/remark;properties/address;properties/country;properties/year;properties/institut;properties/start;properties/stop
Feature;Point;25.4133732;42.2989108;DUH;;;66.70;;;Sofia ;;;Gemessen in Zusamenarbeit mit Foundation Code: Bulgaria;;;Vinarovo Kolelo 4-ti Kilometar 1.;Bulgarien;2019;Messungen in Bulgarien 2019;28.08.2019;26.09.2019
Feature;Point;23.3782257;42.649138;DUH;;;56.10;;;Sofia ;;;Gemessen in Zusamenarbeit mit Foundation Code: Bulgaria;;;bul. Aleksandar Malinov 37;Bulgarien;2019;Messungen in Bulgarien 2019;28.08.2019;26.09.2019
Feature;Point;23.385268;42.6556167;DUH;;;41.60;;;Sofia ;;;Gemessen in Zusamenarbeit mit Foundation Code: Bulgaria;;;bul. Tsarigradsko shose ?66 AIS - Mladost;Bulgarien;2019;Messungen in Bulgarien 2019;28.08.2019;26.09.2019
Feature;Point;23.3759462;42.6628551;DUH;;;70.80;;;Sofia ;;;Gemessen in Zusamenarbeit mit Foundation Code: Bulgaria;;;Spirka na bul. Tsarigradsko shose;Bulgarien;2019;Messungen in Bulgarien 2019;28.08.2019;26.09.2019
Feature;Point;23.2898863;42.6665873;DUH;;;50.70;;;Sofia ;;;Gemessen in Zusamenarbeit mit Foundation Code: Bulgaria;;;bul. Bulgaria 51;Bulgarien;2019;Messungen in Bulgarien 2019;28.08.2019;26.09.2019
Feature;Point;23.2681177;42.6700853;DUH;;;25.30;;;Sofia ;;;Gemessen in Zusamenarbeit mit Foundation Code: Bulgaria;;;bul. Tsar Boris III ?136A AIS - IAOS;Bulgarien;2019;Messungen in Bulgarien 2019;28.08.2019;26.09.2019
Feature;Point;23.3253266;42.6778205;DUH;;;34.80;;;Sofia ;;;Gemessen in Zusamenarbeit mit Foundation Code: Bulgaria;;;ul. sv. Teodosiy Tarnovski ?11;Bulgarien;2019;Messungen in Bulgarien 2019;28.08.2019;26.09.2019
Feature;Point;23.2932839;42.6800708;DUH;;;25.40;;;Sofia ;;;Gemessen in Zusamenarbeit mit Foundation Code: Bulgaria;;;zhk. Hipodruma ?15A AIS - Hipodruma;Bulgarien;2019;Messungen in Bulgarien 2019;28.08.2019;26.09.2019
Feature;Point;23.3135864;42.6848247;DUH;;;35.50;;;Sofia ;;;Gemessen in Zusamenarbeit mit Foundation Code: Bulgaria;;;ul. Tsar Asen ?120;Bulgarien;2019;Messungen in Bulgarien 2019;28.08.2019;26.09.2019
Feature;Point;23.3232008;42.6857581;DUH;;;61.90;;;Sofia ;;;Gemessen in Zusamenarbeit mit Foundation Code: Bulgaria;;;ul. Rakovski ?193;Bulgarien;2019;Messungen in Bulgarien 2019;28.08.2019;26.09.2019
Feature;Point;23.3066022;42.6861898;DUH;;;35.10;;;Sofia ;;;Gemessen in Zusamenarbeit mit Foundation Code: Bulgaria;;;ul. Viktor Grigorovich ?42;Bulgarien;2019;Messungen in Bulgarien 2019;28.08.2019;26.09.2019
Feature;Point;23.3218294;42.6889337;DUH;;;55.80;;;Sofia ;;;Gemessen in Zusamenarbeit mit Foundation Code: Bulgaria;;;ul. Angel Kanchev ?43;Bulgarien;2019;Messungen in Bulgarien 2019;28.08.2019;26.09.2019
