lat;lon;title;text;contacts_title;contacts/0/name;contacts/0/url;partner_title;partner/0/name;partner/0/url;partner/0/mastodon;website;facebook_page
50.075296;14.405987;Smíchovská støední prùmyslová škola a gymnázium;Naše škola je od bøezna roku 2022 prvním úèastníkem pilotního projektu „senzory do škol“. Jedná se o iniciativu veøejného sbìru dat, konkrétnì kvality ovzduší. Naše škola ji disponuje meteostanicí, kterou si studenti sami postavili a sbírá velièiny v podobì intenzity prachu, teploty, vlhkosti a tlaku.;Contact;Alexandr Waage;mailto:reditel@ssps.cz;Partner;Senzorvzduchu.cz;https://www.senzorvzduchu.cz/;https://mastodonczech.cz/@senzorvzduchu;https://www.ssps.cz/projekty/iot/senzory-do-skol/;
50.074372;14.440435;ZÁKLADNÍ ŠKOLA, PRAHA 2, SÁZAVSKÁ 5;ZŠ Sázavská sleduje dlouhodobì kvalitu ovzduší ve svém okolí a úèastní se projektù spojenıch se zlepšováním prostøedí pro své áky. Projekt Senzory do škol nemohl bıt vyjímkou. Studenti 6.roèníku si sami postavili senzor vzduchu a sbírají velièiny v podobì intenzity prachu, teploty, vlhkosti a tlaku.;Contact;Mgr. Michal Voldøich;mailto:sazavska@zssazavska.cz;Partner;Senzorvzduchu.cz;https://www.senzorvzduchu.cz/;https://mastodonczech.cz/@senzorvzduchu;http://www.zssazavska.cz/;
50.079602;14.418281;Gymnázium Pamìti národa;Studenti Gymnázia Pamìti národa si sami ve vıuce postavili školní senzor a namìøená data v podobì intenzity prachu, teploty, vlhkosti a tlaku zaèleòují do vıuky napøíè všemi pøedmìty.;Contact;Mgr. Tereza Meinczingerová;mailto:info@gymnaziumpn.cz;Partner;Senzorvzduchu.cz;https://www.senzorvzduchu.cz/;https://mastodonczech.cz/@senzorvzduchu;https://gymnazium.pametnaroda.cz;
50.02422;14.491291;Základní škola Campanus, Praha 4, Jírovcovo námìstí 1782;Na konci øíjna 2022 se naše škola zapojila do projektu Senzory do škol. Tøída 9.A si tak mìla monost sestavit vlastní senzor vzduchu v rámci vıuky. Senzor je umístìnı ve tøídì 9.A z venku. Na celém svìtì je tìchto senzorù 13 200 v 72 zemích a mají za úkol zvıšit povìdomí o atmosféøe a jejím dopadu na zdraví èlovìka.;Contact;Mgr. Simona Lišková;mailto:simona.liskova@campanus.cz;Partner;Senzorvzduchu.cz;https://www.senzorvzduchu.cz/;https://mastodonczech.cz/@senzorvzduchu;https://www.campanus.cz/blog/2022/11/01/senzory-do-skol/;
50.239908;14.301319;Dvoøákovo gymnázium Kralupy nad Vltavou, pøíspìvková organizace;Ve vıuce informatiky realizujeme rùzné projekty. Inspirováni podzimním Makefairem jsme se rozhodli pro stavbu senzoru, kterı zaznamenává teplotu, tlak, vlhkost a mnoství prachovıch èástic. Souèástí projektu byla i pøednáška o zmìnách klimatu na Zemi a zneèištìní ovzduší prachovımi èásticemi. Studenti 7. G sestavili tøi moduly senzorù a jeden z nich je umístìnı za oknem v uèebnì 16.;Contact;Mgr. Eva Popová;popova@dgkralupy.eu;Partner;Senzorvzduchu.cz;https://www.senzorvzduchu.cz/;https://mastodonczech.cz/@senzorvzduchu;https://www.dgkralupy.cz/aktualne/projekt-senzory-do-skol/;
49.200402;16.639982;Škola pøíbìhem - církevní základní škola;Pøipojili jsme se k celosvìtové síti sensor.community a spoleènì se šesáky jsme sestavili, pod vedením odborníkù z Nádech z.s., pìt senzorù vzduchu. Ode dneška mìøíme na školním dvoøe prachové èástice PM10 a PM2,5 a k tomu ještì teplotu, vlhkost a tlak vzduchu. Data mùete sledovat na webu sensor.community.;Contact;Jaroslav Koleèek;mailto:filipka@skolafilipka.cz;Partner;Senzorvzduchu.cz;https://www.senzorvzduchu.cz/;https://mastodonczech.cz/@senzorvzduchu;https://filipka.edupage.org/news/;
50.773385;15.075695;Univerzitní mateøská škola ŠkaTULka v Liberci;Naše školka je od listopadu roku 2022 jedním z prvních úèastníkù pilotního projektu „senzory do škol“. Naše školka disponuje meteostanicí s ohøíváním zkoumaného vzduchu, která sbírá velièiny v podobì intenzity prachu, teploty, vlhkosti a tlaku.;Contact;MgA. Ivana Honsnejmanová;mailto:ms@ubilehokralika.cz;Partner;Senzorvzduchu.cz;https://www.senzorvzduchu.cz/;https://mastodonczech.cz/@senzorvzduchu;https://msskatulka.cz;
49.769114;18.315716;Mateøská škola Vratimov;MŠ Vratimov se dlouhodobì úèastní projektù sledování kvality vzduchu. Úèastnili jsme se projektu Èistá školka a novì sledujeme kvalitu ovzduší v rámci projektu Senzory do škol.;Contact;Lenka Siváková;mailto:skolka@msvratimov.cz;Partner;Senzorvzduchu.cz;https://www.senzorvzduchu.cz/;https://mastodonczech.cz/@senzorvzduchu;https://msvratimov.cz/vratimov/;
49.598162;18.002733;Mateøská škola Máj;MŠ Máj sleduje kvalitu ovzduší v rámci projektu Senzory do škol.;Contact;Mgr. Jana Vrbová;mailto:msmaj@seznam.cz;Partner;Senzorvzduchu.cz;https://www.senzorvzduchu.cz/;https://mastodonczech.cz/@senzorvzduchu;https://www.msmajnj.cz;
49.595735;17.999936;Základní škola a Mateøská škola Novı Jièín, Jubilejní 3;ZŠ a MŠ Jubilejní sleduje kvalitu ovzduší v rámci projektu Senzory do škol.;Contact;Mgr. Ladislav Gróf;mailto:skola@zsjubilejni.cz;Partner;Senzorvzduchu.cz;https://www.senzorvzduchu.cz/;https://mastodonczech.cz/@senzorvzduchu;http://zsjubilejni.cz;
49.594087;18.018854;Mateøská škola Trojlístek Novı Jièín;MŠ Trojlístek sleduje kvalitu ovzduší v rámci projektu Senzory do škol.;Contact;Ing. Romana Seifertová;mailto:reditelka.trojlistek@seznam.cz;Partner;Senzorvzduchu.cz;https://www.senzorvzduchu.cz/;https://mastodonczech.cz/@senzorvzduchu;https://trojlistek-novy-jicin.webnode.cz;
49.587483;18.017437;Mateøská škola Sady Novı Jièín, Revoluèní 52;MŠ Sady Novı Jièín sleduje kvalitu ovzduší v rámci projektu Senzory do škol.;Contact;Soòa Nevrlová;mailto:reditelka-mssady@seznam.cz;Partner;Senzorvzduchu.cz;https://www.senzorvzduchu.cz/;https://mastodonczech.cz/@senzorvzduchu;https://www.ms-sady.cz;
